0,1,2,3,4
Fair Cool,215,256,BENEFIT COSMETICS   Hello Happy Soft Blur Foundation,https://www.sephora.com/product/hello-happy-soft-blur-foundation-P432858?icid2=products%20grid:p432858:product&skuId=2086452
Light Warm,200,215,BENEFIT COSMETICS   Hello Happy Soft Blur Foundation,https://www.sephora.com/product/hello-happy-soft-blur-foundation-P432858?icid2=products%20grid:p432858:product&skuId=2086460
Neutral Finish,187,200,BENEFIT COSMETICS   Hello Happy Soft Blur Foundation,https://www.sephora.com/product/hello-happy-soft-blur-foundation-P432858?icid2=products%20grid:p432858:product&skuId=2086478
Medium Neutral,175,187,BENEFIT COSMETICS   Hello Happy Soft Blur Foundation,https://www.sephora.com/product/hello-happy-soft-blur-foundation-P432858?icid2=products%20grid:p432858:product&skuId=2086486
Medium Cool,162,175,BENEFIT COSMETICS   Hello Happy Soft Blur Foundation,https://www.sephora.com/product/hello-happy-soft-blur-foundation-P432858?icid2=products%20grid:p432858:product&skuId=2086494
Medium Warm,150,162,BENEFIT COSMETICS   Hello Happy Soft Blur Foundation,https://www.sephora.com/product/hello-happy-soft-blur-foundation-P432858?icid2=products%20grid:p432858:product&skuId=2086502
Medium Tan Warm,137,150,BENEFIT COSMETICS   Hello Happy Soft Blur Foundation,https://www.sephora.com/product/hello-happy-soft-blur-foundation-P432858?icid2=products%20grid:p432858:product&skuId=2086510
Tan Warm,125,137,BENEFIT COSMETICS   Hello Happy Soft Blur Foundation,https://www.sephora.com/product/hello-happy-soft-blur-foundation-P432858?icid2=products%20grid:p432858:product&skuId=2086528
Deep Neutral,113,125,BENEFIT COSMETICS   Hello Happy Soft Blur Foundation,https://www.sephora.com/product/hello-happy-soft-blur-foundation-P432858?icid2=products%20grid:p432858:product&skuId=2086536
Deep Warm,100,113,BENEFIT COSMETICS   Hello Happy Soft Blur Foundation,https://www.sephora.com/product/hello-happy-soft-blur-foundation-P432858?icid2=products%20grid:p432858:product&skuId=2086544
Dark Neutral,85,100,BENEFIT COSMETICS   Hello Happy Soft Blur Foundation,https://www.sephora.com/product/hello-happy-soft-blur-foundation-P432858?icid2=products%20grid:p432858:product&skuId=2086551
Darm Warm,0,85,BENEFIT COSMETICS   Hello Happy Soft Blur Foundation,https://www.sephora.com/product/hello-happy-soft-blur-foundation-P432858?icid2=products%20grid:p432858:product&skuId=2086569
